180,g egg whites,,675,g egg whites,,670.9090909,g egg whites,,4.090909091,g egg whites
220,g ripe banana,,825,g ripe banana,,820,g ripe banana,,5,g ripe banana
33,g protein powder,,123.75,g protein powder,,123,g protein powder,,0.75,g protein powder
65,g rolled oats,,243.75,g rolled oats,,242.2727273,g rolled oats,,1.477272727,g rolled oats
15,g cocoa powder,,56.25,g cocoa powder,,55.90909091,g cocoa powder,,0.3409090909,g cocoa powder
1,tsp cinnamon,,3.75,tsp cinnamon,,3.727272727,tsp cinnamon,,0.02272727273,tsp cinnamon
,,,1927.5,,,1915.818182,,,,
720,kcal,,2700,,,2683.636364,,,16.36363636,
